f881, 0011, 1f, 50, 28, 29
02ef, 000f, 00, 0e, 24, 26
02cd, 000f, 10, 00, 28, 25
0019, 000f, 00, 0c, 23, 26
0059, 000f, 00, 0c, 26, 26
011b, 000f, 02, 1a, 1a, 1a
0365, 000f, 11, 00, 29, 26
0418, 000f, 0e, 00, 28, 25
09d7, 000e, 00, 77, 18, 18
07b1, 000e, 00, 7a, 18, 15
093f, 000d, 00, 7f, 17, 10
0d38, 000d, 00, 7d, 17, 12
110d, 000c, 01, 7c, 1a, 13
0042, 0000, 00, 00, 00, 00
0041, 0000, 00, 00, 00, 00
0040, 0000, 00, 00, 00, 00
0043, 0000, 00, 00, 00, 00
0045, 0000, 00, 00, 00, 00
0046, 0000, 00, 00, 00, 00
0044, 0000, 00, 00, 00, 00
0047, 0000, 00, 00, 00, 00
0039, 0000, 00, 00, 00, 00
003a, 0000, 00, 00, 00, 00
0038, 0000, 00, 00, 00, 00
0034, 0000, 00, 00, 00, 00
0037, 0000, 00, 00, 00, 00
003e, 0000, 00, 00, 00, 00
003f, 0000, 00, 00, 00, 00
003d, 0000, 00, 00, 00, 00
003b, 0000, 00, 00, 00, 00
003c, 0000, 00, 00, 00, 00
0048, 0000, 00, 00, 00, 00
0059, 0000, 00, 00, 00, 00
005a, 0000, 00, 00, 00, 00
0058, 0000, 00, 00, 00, 00
0056, 0000, 00, 00, 00, 00
0057, 0000, 00, 00, 00, 00
005e, 0000, 00, 00, 00, 00
005f, 0000, 00, 00, 00, 00
005d, 0000, 00, 00, 00, 00
005b, 0000, 00, 00, 00, 00
005c, 0000, 00, 00, 00, 00
004e, 0000, 00, 00, 00, 00
004f, 0000, 00, 00, 00, 00
004d, 0000, 00, 00, 00, 00
0049, 0000, 00, 00, 00, 00
004a, 0000, 00, 00, 00, 00
0053, 0000, 00, 00, 00, 00
0055, 0000, 00, 00, 00, 00
0052, 0000, 00, 00, 00, 00
0050, 0000, 00, 00, 00, 00
0051, 0000, 00, 00, 00, 00
0016, 0000, 00, 00, 00, 00
0017, 0000, 00, 00, 00, 00
0015, 0000, 00, 00, 00, 00
0013, 0000, 00, 00, 00, 00
0014, 0000, 00, 00, 00, 00
0018, 0000, 00, 00, 00, 00
001c, 0000, 00, 00, 00, 00
001d, 0000, 00, 00, 00, 00
001b, 0000, 00, 00, 00, 00
0019, 0000, 00, 00, 00, 00
001a, 0000, 00, 00, 00, 00
0008, 0000, 00, 00, 00, 00
0009, 0000, 00, 00, 00, 00
0006, 0000, 00, 00, 00, 00
0002, 0000, 00, 00, 00, 00
0003, 0000, 00, 00, 00, 00
000a, 0000, 00, 00, 00, 00
0011, 0000, 00, 00, 00, 00
0012, 0000, 00, 00, 00, 00
0010, 0000, 00, 00, 00, 00
000d, 0000, 00, 00, 00, 00
000f, 0000, 00, 00, 00, 00
002c, 0000, 00, 00, 00, 00
002d, 0000, 00, 00, 00, 00
002b, 0000, 00, 00, 00, 00
0029, 0000, 00, 00, 00, 00
002a, 0000, 00, 00, 00, 00
002e, 0000, 00, 00, 00, 00
0032, 0000, 00, 00, 00, 00
0033, 0000, 00, 00, 00, 00
0031, 0000, 00, 00, 00, 00
002f, 0000, 00, 00, 00, 00
0030, 0000, 00, 00, 00, 00
0021, 0000, 00, 00, 00, 00
0022, 0000, 00, 00, 00, 00
0020, 0000, 00, 00, 00, 00
001e, 0000, 00, 00, 00, 00
001f, 0000, 00, 00, 00, 00
0023, 0000, 00, 00, 00, 00
0027, 0000, 00, 00, 00, 00
0028, 0000, 00, 00, 00, 00
0026, 0000, 00, 00, 00, 00
0024, 0000, 00, 00, 00, 00
0025, 0000, 00, 00, 00, 00
